mean,variance,homogeneity,contrast,dissimilarity,entroy,energy,correlation,ASM
-0.27803482917050376,-0.15443321422172365,0.08773107365862899,-0.048945568232343,-0.048945568232343,0.891038521815461,-0.03441232901672527,-0.2595722015035899,-0.1544258850968612
-0.2174917251319093,-0.028598221805381557,-0.005452107003751916,-0.20159737867314373,-0.20159737867314373,0.908253419184998,-0.013643047699212067,-0.21127869520195094,-0.028594864996504436
-0.21469596879243172,-0.030026322295250582,-0.008542418267226093,-0.19987907298786425,-0.19987907298786425,0.9096918510349327,-0.016104236061129856,-0.21054169611998863,-0.030023063523177435
-0.21021785719357897,-0.031000939289013412,-0.015126179071915378,-0.1994374305270099,-0.1994374305270099,0.9119387035420475,-0.020665140871151445,-0.20505584595426699,-0.03099788010810178
-0.21566306668358157,-0.029476177688360066,-0.007418838132818367,-0.20046262185005573,-0.20046262185005573,0.9091594097914575,-0.015194488414683745,-0.2110087110838742,-0.02947288408802791
-0.2116430617077069,-0.030504440341861023,-0.013129316531903244,-0.19979981387983295,-0.19979981387983295,0.9111954848815587,-0.019207150520688835,-0.20661056718544554,-0.03050132083428733
-0.2155002615187442,-0.02939793037925977,-0.007740233274484202,-0.20059951232633147,-0.20059951232633147,0.9092265393845942,-0.015371738829778369,-0.2106227042757091,-0.029394646453955706
-0.21477089016347017,-0.02931661501545976,-0.009007597567031471,-0.200867909155656,-0.200867909155656,0.9095718100313447,-0.016152650770346392,-0.20927486903256254,-0.029313369171162475
-0.2146682413951665,-0.02947866586365432,-0.009045528272512095,-0.2006640319279918,-0.2006640319279918,0.9096420974106515,-0.01623380052380297,-0.20941237610738303,-0.029475421392149117
-0.2148658453075634,-0.029319784077808605,-0.008846173286467793,-0.20084153576324548,-0.20084153576324548,0.9095254034624355,-0.01605049007480123,-0.20944350579360604,-0.029316533395697758
-0.21452166577075885,-0.029438686278164494,-0.00931794037710779,-0.20074873783834832,-0.20074873783834832,0.909707553615462,-0.016393858912323835,-0.20910247663578088,-0.029435449964629486
-0.215856493398728,-0.029230314361167128,-0.007414019214641607,-0.20086798841371778,-0.20086798841371778,0.9090703230840252,-0.015108622725514415,-0.2104978772037517,-0.029227019352787164
-0.21341883193141084,-0.029967562398542397,-0.010631498193218953,-0.2001780365759924,-0.2001780365759924,0.9102825146613366,-0.01741760521731808,-0.20852657675185712,-0.029964367017004164
-0.21517077306379195,-0.029373595995556872,-0.008293994042301021,-0.20069684811400249,-0.20069684811400249,0.9093818720878123,-0.015716450710151007,-0.21006303324364653,-0.029370328804359924
-0.21170104450441674,-0.03061149762361534,-0.012994221949216683,-0.1996821557730979,-0.1996821557730979,0.9111960395534076,-0.019159095669274148,-0.20675749443090605,-0.030608373829782768
-0.21093060864947996,-0.030725067810643252,-0.014145528189378065,-0.1996532000369464,-0.1996532000369464,0.9115634297266576,-0.01993753857460457,-0.20579630743054575,-0.03072197899811298
-0.1480624959109316,-0.1088494798977628,-0.0839419789824667,-0.1271403513561371,-0.12834394594480894,0.9411368320885284,-0.09427448789010794,-0.14167573923984625,-0.10884835286646703
-0.2136932228516127,-0.030008210333048232,-0.010158485876308736,-0.20007528115661663,-0.20007528115661663,0.9101595667397002,-0.01712942353272864,-0.2090146611634521,-0.030005000669316592
-0.21479184892539535,-0.029027489532840397,-0.009244474702788425,-0.2012959452898887,-0.2012959452898887,0.9095358941819375,-0.016203638171506142,-0.20865230218053377,-0.02902425008909641
-0.21493853610514793,-0.030620306188404,-0.007753292592212936,-0.19906286082815475,-0.19906286082815475,0.9096719078714637,-0.01581227384682154,-0.21180475388701406,-0.03061702359555365
-0.215293900040892,-0.02986222620157286,-0.007744344777640191,-0.20002593563847493,-0.20002593563847493,0.9093967201232851,-0.015538872169389881,-0.2110465629706286,-0.029858942686211268
-0.21576250845480824,-0.029521419737741778,-0.007237397906585054,-0.20039355864087607,-0.20039355864087607,0.909121992784688,-0.015095276048112075,-0.21120015278991588,-0.02951812056577197
-0.21676927950402844,-0.029246751610190663,-0.005889105786815697,-0.20063508926807275,-0.20063508926807275,0.9086189394185062,-0.014142224366433585,-0.21205798895136088,-0.029243410663531495
-0.2156481503681292,-0.029771015094986628,-0.007246367680964032,-0.20008590647699798,-0.20008590647699798,0.9092154289506937,-0.01518951215876694,-0.21142085436370806,-0.02976771633014318
-0.2116950328556694,-0.030456079791173808,-0.013081787852792409,-0.19985481478253678,-0.19985481478253678,0.9111644936997497,-0.019159708323138725,-0.20660929652346757,-0.030452958788434212
-0.21627460964549497,-0.02918255063056155,-0.006686335920947583,-0.20077494728512893,-0.20077494728512893,0.9088341268227039,-0.014625252794295532,-0.21133624902278916,-0.02917923423835737
-0.21610687740989246,-0.029405457237236005,-0.006781649595845641,-0.2004964584046841,-0.2004964584046841,0.9089438124744049,-0.014764443558068606,-0.21149032385013344,-0.029402144013860303
-0.21582869925057768,-0.02890417471094658,-0.007630134360094115,-0.20124825936761104,-0.20124825936761104,0.9090138059869863,-0.015128818252635193,-0.2101245741397378,-0.028900886537773205
-0.2124314659927986,-0.03018620281691209,-0.012079806543777593,-0.20007410095020653,-0.20007410095020653,0.9107802272324544,-0.018422206575947276,-0.20732929206074857,-0.03018305134185742
-0.21601132835949352,-0.02942245802751878,-0.0069172471983676535,-0.20048664164956434,-0.20048664164956434,0.9089904768921824,-0.014856620678653636,-0.21139039034367776,-0.029419148985342303
-0.2116467547633455,-0.030537933545242327,-0.013093733625717823,-0.19975141102682045,-0.19975141102682045,0.9111973877504987,-0.019195944167619963,-0.20668538655405003,-0.03053481304088194
-0.21517718433259894,-0.02993129770083573,-0.007868437686274118,-0.19994342313943889,-0.19994342313943889,0.9094583484471938,-0.015641931434633213,-0.21102463289301207,-0.029928018120961852
-0.21425006991845577,-0.029524044050468073,-0.00965007143481106,-0.20064644014409314,-0.20064644014409314,0.9098354368318948,-0.016634859522630028,-0.20896269337638587,-0.029520818240957546
-0.21501580889952157,-0.029648593675692596,-0.008316348778480578,-0.20033585068790263,-0.20033585068790263,0.9094882943327115,-0.015827025458631048,-0.21036348852629613,-0.0296453276182843
-0.2166810452475704,-0.029698192166694254,-0.005797130007539168,-0.2001269291825288,-0.2001269291825288,0.908757368068034,-0.014247172956276012,-0.21238512136580734,-0.029694847959089516
-0.21510499347417225,-0.02950375840885491,-0.008281807195149095,-0.20051545081472774,-0.20051545081472774,0.9094254035982634,-0.015753934443339328,-0.21024951729396868,-0.02950049115332372
-0.212924463696294,-0.03000464876007003,-0.011413953551197863,-0.2002250998162007,-0.2002250998162007,0.9105226808091693,-0.017931776557057647,-0.2077961616194999,-0.030001476992648515
-0.21323108579257075,-0.03015355015231515,-0.010794401078665888,-0.19996298577393978,-0.19996298577393978,0.9103971641254218,-0.017587233006326638,-0.20855456263460756,-0.030150359913056063
